0
2001
# eps (GeV/fm^3)  P (GeV/fm^3)      s (fm^-3)      n_b (fm^-3)      x                T (GeV)       mu_b (GeV)     mu_s (GeV)      c_2^2            deps/dT|(n/s)
   0.0            0.0              0.0            0.0            0.0               0.0            0.0            0.0              0.0                       0.0
   0.0010000000   0.0000512668     0.0142058386   0.0000000000   0.0000000000	   0.0188751920   0.0000000000   0.0000000000	  0.07574383774651330       0.10059502572196463     
   0.0030000000   0.0002470268     0.0398118373   0.0000000000   0.0000000000	   0.0325296389   0.0000000000   0.0000000000	  0.11376193185443755       0.19926892226644777     
   0.0050000000   0.0004939223     0.0635992234   0.0000000000   0.0000000000	   0.0408770515   0.0000000000   0.0000000000	  0.13144138660286367       0.28354399343670261     
   0.0070000000   0.0007682610     0.0862545769   0.0000000000   0.0000000000	   0.0470960286   0.0000000000   0.0000000000	  0.14211367718857054       0.36223504697284525     
   0.0090000000   0.0010600322     0.1080878031   0.0000000000   0.0000000000	   0.0521068132   0.0000000000   0.0000000000	  0.14921202711923898       0.43810981716267594     
   0.0110000000   0.0013637015     0.1292787761  -0.0000000000   0.0000000000	   0.0563229292   0.0000000000   0.0000000000	  0.15417657069936874       0.51235819999612675     
   0.0130000000   0.0016758237     0.1499454283  -0.0000000000   0.0000000000	   0.0599712351   0.0000000000   0.0000000000	  0.15775789460044484       0.58551560790412160     
   0.0150000000   0.0019941086     0.1701710356  -0.0000000000   0.0000000000	   0.0631916988   0.0000000000   0.0000000000	  0.16039643081812741       0.65781495376972809     
   0.0170000000   0.0023169686     0.1900174449  -0.0000000000   0.0000000000	   0.0660775960   0.0000000000   0.0000000000	  0.16237007356642014       0.72934395671879926     
   0.0190000000   0.0026432701     0.2095323105  -0.0000000000   0.0000000000	   0.0686945503   0.0000000000   0.0000000000	  0.16386297026524690       0.80012031902372815     
   0.0210000000   0.0029721856     0.2287534013  -0.0000000000   0.0000000000	   0.0710906244   0.0000000000   0.0000000000	  0.16500159376850299       0.87012905093171211     
   0.0230000000   0.0033031007     0.2477113282   0.0000000000   0.0000000000	   0.0733021325   0.0000000000   0.0000000000	  0.16587523906037965       0.93934158316719163     
   0.0250000000   0.0036355535     0.2664313578  -0.0000000000   0.0000000000	   0.0753572036   0.0000000000   0.0000000000	  0.16654836727172662        1.0077256318884376     
   0.0270000000   0.0039691926     0.2849346649  -0.0000000000   0.0000000000	   0.0772780741   0.0000000000   0.0000000000	  0.16706837804717414        1.0752500683513679     
   0.0290000000   0.0043037489     0.3032392253  -0.0000000000   0.0000000000	   0.0790826254   0.0000000000   0.0000000000	  0.16747066823866372        1.1418873528330384     
   0.0310000000   0.0046390149     0.3213604693  -0.0000000000   0.0000000000	   0.0807854485   0.0000000000   0.0000000000	  0.16778202146759871        1.2076145850975755     
   0.0330000000   0.0049748302     0.3393117705  -0.0000000000   0.0000000000	   0.0823986001   0.0000000000   0.0000000000	  0.16802293442911759        1.2724137898564019     
   0.0350000000   0.0053110704     0.3571048181  -0.0000000000   0.0000000000	   0.0839321540   0.0000000000   0.0000000000	  0.16820924579269050        1.3362718104359219     
   0.0370000000   0.0056476392     0.3747499068  -0.0000000000   0.0000000000	   0.0853946091   0.0000000000   0.0000000000	  0.16835329749133943        1.3991800116162458     
   0.0390000000   0.0059844620     0.3922561636   0.0000000000   0.0000000000	   0.0867931986   0.0000000000   0.0000000000	  0.16846477568112866        1.4611338791920860     
